Bank_Code,Bank_Name,Branch_Code,Branch_Name,Branch_Address,City,Zip_Code,POB,Telephone,Fax,Free_Tel,Handicap_Access,day_closed,Branch_Type,Open_Date,Close_Date,Merge_Bank,Merge_Branch,X_Coordinate,Y_Coordinate
14,בנק אוצר החייל בע"מ,363,באר שבע,בן צבי 9 ,באר שבע,8489327,290,08-6299444,,,כן,יום א,מחלקה,01/02/1949,,31001,,31.244340,34.798749
14,בנק אוצר החייל בע"מ,338,לקוחות נבחרים,ילדי טהרן 5 מתחם הפאואר סנטר החדש,ראשון לציון,7565841,,03-7102223,,,כן,יום ו,יחידת ביצוע,28/06/2008,,31001,,31.985004,34.768895
14,בנק אוצר החייל בע"מ,388,מרכז שרות ישיר,אברהם בומה שביט 5 ,ראשון לציון,7559903,,03-6258233,,,כן,,יחידת ביצוע,31/12/1999,,31001,,31.950560,34.766311
14,בנק אוצר החייל בע"מ,399,מטה אוצר החייל,שד' רוטשילד 42 ,תל אביב -יפו,6688310,,03-5196111,,*3009,כן,יום ו,יחידת ביצוע,01/01/1992,,31001,,32.063446,34.774228
14,בנק אוצר החייל בע"מ,321,המרכז למימון מתמחה,שד' רוטשילד 42 ,תל אביב -יפו,6688310,,03-5196111,,,כן,,יחידת ביצוע,13/11/2006,,31001,,32.063446,34.774228
14,בנק אוצר החייל בע"מ,318,נווה זאב,יוהנה ז'בוטינסקי 7 ,באר שבע,8425807,,08-6405200,,,כן,יום א,מיוחד,01/04/2014,01/12/2024,31001,,31.240060,34.775940
14,בנק אוצר החייל בע"מ,332,קרית ההדרכה,עיר הבהד"ים 0 ,ירוחם,8413302,,08-6695200,,,כן,יום ו,מיוחד,02/07/2017,18/02/2024,31001,,31.058881,34.845233
14,בנק אוצר החייל בע"מ,309,עפולה,חטיבה תשע 23 ,עפולה,1835514,2161,04-6520200,,*3009,כן,יום ו,מחלקה,01/12/2020,,,,32.611669,35.287416
14,בנק אוצר החייל בע"מ,344,ראשון לציון,רוטשילד 14 ,ראשון לציון,7526707,1,03-9571222,,,כן,יום ו,מחלקה,01/08/1991,,31001,,31.964338,34.805438
14,בנק אוצר החייל בע"מ,392,מערב ראשון לציון,ילדי טהרן 5 מתחם הפאואר סנטר החדש,ראשון לציון,7565841,,03-9592200,,,כן,יום א,מחלקה,01/06/2008,,31001,,31.984781,34.768790
14,בנק אוצר החייל בע"מ,315,מודיעין,"ערער 14 ערער פינת הפיקוס, מודיעין",מודיעין-מכבים-רעות*,7177076,,08-8615200,,,כן,יום א,מחלקה,09/05/2005,,31001,,31.900471,35.008677
14,בנק אוצר החייל בע"מ,398,כרמיאל,החרושת 15 ,כרמיאל,2165118,474,04-9028200,,,כן,יום א,מחלקה,18/10/2007,,31001,,32.921775,35.307237
14,בנק אוצר החייל בע"מ,377,אילת,שד' התמרים 11 שדרות התמרים 11,אילת,8801409,,08-6300200,,,כן,יום ו,מחלקה,01/08/1991,,31001,,29.555192,34.952591
14,בנק אוצר החייל בע"מ,359,אוצר החייל קרית גת,הזית 54 השוק החדש,קריית גת,8202009,38,08-6670200,,,כן,יום ו,מחלקה,15/10/2021,,,,31.605307,34.770792
14,בנק אוצר החייל בע"מ,348,אפק,יגאל אלון 18 מרכז מסחרי שפיר,ראש העין,4863087,,03-9003200,,,כן,יום א,מחלקה,10/07/1994,,31001,,32.086690,34.978982
14,בנק אוצר החייל בע"מ,360,קרית שמונה אוצר החייל,שד' תל חי 83 ,קריית שמונה,1103011,,04-6836200,,,כן,יום ו,מחלקה,15/10/2021,,,,33.205803,35.568930
14,בנק אוצר החייל בע"מ,305,סניף וירטואלי מי,עזרא 4 ,רחובות,7620015,,03-9704200,,,כן,,מחלקה,23/07/2023,,,,31.891216,34.812814
14,בנק אוצר החייל בע"מ,395,רחובות,הרצל 182 ,רחובות,7626718,,08-9585200,,,כן,יום ו,מחלקה,01/07/2008,,31001,,31.896879,34.811028
14,בנק אוצר החייל בע"מ,335,כפר סבא הירוקה אוצה"ח,רפפורט 1 ,כפר סבא,4465142,,09-7784200,,,כן,יום א,מחלקה,01/03/2021,,,,32.192442,34.891995
14,בנק אוצר החייל בע"מ,380,כפר סבא,רוטשילד 56 ,כפר סבא,4420122,,09-7757600,,,כן,יום ו,מחלקה,01/02/1949,,31001,,32.175648,34.908817
14,בנק אוצר החייל בע"מ,373,אשקלון אוצר החייל,רמז 25 מרכז מסחרי חדש,אשקלון,7853305,,08-6776200,,,כן,יום ו,מחלקה,01/11/2021,,,,31.667060,34.584121
14,בנק אוצר החייל בע"מ,316,קרית השרון,טום לנטוס 1 ,נתניה,4201233,,09-8641200,,,כן,יום ו,מחלקה,01/01/2019,,31001,,32.311847,34.870260
14,בנק אוצר החייל בע"מ,346,נתניה,הרצל 5 ,נתניה,4240003,2080,09-8893200,,,כן,יום א,מחלקה,18/01/1992,,31001,,32.329963,34.853481
14,בנק אוצר החייל בע"מ,329,יוקנעם,שד' רבין 9 ,יקנעם עילית,2069201,,04-6642200,,*3009,כן,יום א,מחלקה,09/05/2021,,,,32.642631,35.092004
14,בנק אוצר החייל בע"מ,313,ראש פינה,האגס 0 קניון סנטר הגליל,ראש פינה,1200000,,04-9009200,,,כן,יום א,מחלקה,01/09/2003,,31001,,32.969229,35.550289
14,בנק אוצר החייל בע"מ,319,נהריה,שד' הגעתון 41 ,נהרייה,2242021,419,04-9518200,,*3009,כן,יום ו,מחלקה,09/05/2021,,,,33.006736,35.092242
14,בנק אוצר החייל בע"מ,358,אוצר החייל יהוד,דרך העצמאות 56 ,יהוד-מונוסון,5630425,1057,03-5393200,,,כן,יום ו,מחלקה,15/10/2021,01/04/2024,,,32.027826,34.891127
14,בנק אוצר החייל בע"מ,357,הסניף המרכזי,שד' רוטשילד 42 ,תל אביב -יפו,6688310,29036,03-7556111,,,כן,יום ו,מחלקה,01/06/2003,,31001,,32.063451,34.776803
14,בנק אוצר החייל בע"מ,322,גבעתיים,הורודצקי 10 ,תל אביב -יפו,,,03-7334778,,,כן,יום ו,מיוחד,20/07/2001,,31001,,32.064277,34.800258
14,בנק אוצר החייל בע"מ,378,הקריה,"קפלן, הקריה 27 ",תל אביב -יפו,,,03-6084200,,,כן,יום ו,מיוחד,31/12/1980,,31001,,32.073673,34.786846
14,בנק אוצר החייל בע"מ,372,תל השומר,תל השומר 0 ,רמת גן,5262000,3506,03-6715200,,,כן,יום ו,מיוחד,01/02/1949,,31001,,32.050606,34.849166
14,בנק אוצר החייל בע"מ,381,רמון,"מחנה טלי, ד.נ. נגב 0 ",הר הנגב הצפוני מ"א 48,8493500,,08-6571325,,,כן,יום ו,מיוחד,01/02/1949,,31001,,30.782061,34.666748
14,בנק אוצר החייל בע"מ,369,ירושלים,הלל 10 ,ירושלים,9458110,,02-6217222,,,כן,יום א,מיוחד,01/02/1949,,31001,,31.780210,35.216943
14,בנק אוצר החייל בע"מ,336,חיל הים - חיפה,"0 0 ב"ח חיפה, בת-גלים, חיפה",חיפה,,,04-8138230,,,כן,יום ו,מיוחד,19/07/2010,,31001,,32.834295,34.982308
14,בנק אוצר החייל בע"מ,350,מת"מ אומגה,נחום חת 1 א"ת מת"מ - טירת הכרמל,טירת כרמל,3900000,15034,04-8134200,,,כן,יום א,מיוחד,15/02/1998,,31001,,32.784652,34.962384
14,בנק אוצר החייל בע"מ,376,חצרים,"בסיס צבאי חצרים 0 מחנה יפה,",חצרים,8542500,540,08-6204100,,,כן,יום ו,מיוחד,28/05/1976,,31001,,31.239328,34.713612
14,בנק אוצר החייל בע"מ,311,פרדס חנה,דרך הבנים 17 דרך הבנים 17 מרכז מסחרי,פרדס חנה-כרכור,3707368,,04-6145200,,,כן,יום א,מיוחד,15/03/2016,,31001,,32.476333,34.976694
14,בנק אוצר החייל בע"מ,317,פתח תקוה - כפר-גנים,העצמאות 65 קניון כפר גנים,פתח תקווה,4937999,,03-9780200,,,כן,יום א,מיוחד,16/07/2006,,31001,,32.074640,34.869534
14,בנק אוצר החייל בע"מ,397,גדרה,בן גוריון 105 ,גדרה,7051846,114,08-8519200,,,כן,יום א,מיוחד,01/07/2007,,31001,,31.804260,34.783844
14,בנק אוצר החייל בע"מ,366,תל נוף,"בסיס צבאי, מחנה תל-נוף 0 ",גדרה,7071000,3500,08-8596995,,,כן,יום ו,מיוחד,31/01/1965,,31001,,31.822320,34.819498
14,בנק אוצר החייל בע"מ,342,נבטים,"מחנה עדי, ערד 0 ",ערד,8554000,,08-6501516,,,לא,יום ו,מיוחד,04/06/1985,,31001,,31.221320,34.8858
14,בנק אוצר החייל בע"מ,477,עובדה,"מחנה יוכבד 0 ממ"ס הקניון האדום, אילת",אילת,8800000,,08-6359377,,,כן,יום ו,מיוחד,01/02/1949,,31001,,29.941986,34.956666
14,בנק אוצר החייל בע"מ,314,גלילות,מתחם גלילות 0 ,רמת השרון,,,03-5497224,,,כן,יום ו,מיוחד,01/12/2003,,31001,,32.145860,34.818277
14,בנק אוצר החייל בע"מ,312,יבנה,הדוגית 16 הדוגית 16 יבנה,יבנה,8103827,,08-6329200,,,כן,יום א,מיוחד,08/03/2016,01/01/2023,31001,,31.866659,34.735907
14,בנק אוצר החייל בע"מ,367,חצור,"בסיס צבאי, מחנה מרים 0 ",חצור-אשדוד,7072000,1,08-8573368,,,כן,יום ו,מיוחד,26/10/1966,,31001,,31.763842,34.740959
14,בנק אוצר החייל בע"מ,371,רמת דוד,מחנה יהודית 0 ,רמת דוד,3658500,,04-6440424,,,כן,יום ו,מיוחד,01/12/1968,,31001,,32.670270,35.195460
14,בנק אוצר החייל בע"מ,379,פלמחים,"מחנה הילה, ד"נ גן שורק 0 ",פלמחים,7687800,,08-9436636,,,כן,יום ו,מיוחד,01/02/1949,,31001,,31.926099,34.713777
14,בנק אוצר החייל בע"מ,362,מפרץ חיפה,החרושת 0 מתחם חוצות המפרץ (צומת וולקן),חיפה,,,04-8813200,,,כן,יום א,רגיל,25/05/1995,,31001,,32.808218,35.054383
14,בנק אוצר החייל בע"מ,361,החשמונאים,החשמונאים 84 ,תל אביב -יפו,6713203,,03-5635353,,,כן,יום ו,רגיל,01/02/1949,,31001,,32.069461,34.782469
3,בנק אש ישראל בע"מ,900,תפעולי,החרש 20 ,תל אביב -יפו,,,,,,לא,,יחידת ביצוע,,,,,,
3,בנק אש ישראל בע"מ,1,ישראל,החרש 20 ,תל אביב -יפו,,,,,,לא,,יחידת ביצוע,,,,,,
11,בנק דיסקונט לישראל בע"מ,128,אשקלון,שדרות בן גוריון 15 ,אשקלון,7828118,,076-8053060,,,כן,יום ו,רגיל,01/02/1949,,,,31.6642,34.5627
11,בנק דיסקונט לישראל בע"מ,996,ברנע שלוחת אשקלון,שדרות ירושלים 119 ,אשקלון,7861787,,076-8053859,,,כן,יום ו,רגיל,08/06/2023,,,,31.691070,34.576260
11,בנק דיסקונט לישראל בע"מ,117,נס ציונה,ויצמן 31 ,נס ציונה,7403024,,076-8050628,,,כן,יום ו,רגיל,01/02/1949,,,,31.9277,34.7980
11,בנק דיסקונט לישראל בע"מ,93,נצרת,בילאל 45 ,נצרת,1652466,,076-8052260,,,לא,יום א,רגיל,01/02/1949,,,,32.6974,35.2994
11,בנק דיסקונט לישראל בע"מ,42,נתניה,סמילנסקי 6 ,נתניה,4243208,,076-8051510,,,כן,יום א,רגיל,01/02/1949,,,,32.3282,34.8559
11,בנק דיסקונט לישראל בע"מ,320,קריית השרון,טום לנטוס 26 ,נתניה,4276001,,076-8051390,,,כן,יום ו,רגיל,06/11/2008,,,,32.3070,34.8694
11,בנק דיסקונט לישראל בע"מ,111,דימונה,שד' יגאל אלון 1 המרכז המסחרי (אגף חדש),דימונה,8618604,,076-8052760,,,כן,יום ו,רגיל,01/02/1949,,,,31.0661,35.0304
11,בנק דיסקונט לישראל בע"מ,99,עכו,בן עמי 67 ,עכו,2450518,,076-8052200,,,לא,יום ו,רגיל,01/02/1949,,,,32.9262,35.0757
11,בנק דיסקונט לישראל בע"מ,2,עפולה,שדרות מנחם בגין 72 ,עפולה,1827601,,076-8052170,,,כן,יום ו,רגיל,01/01/1949,,,,32.602542,35.298740
11,בנק דיסקונט לישראל בע"מ,361,פרדס חנה,גלעד 1 ,פרדס חנה-כרכור,3711967,,,,,לא,יום ו,רגיל,10/09/2019,,,,32.4728,34.9743
11,בנק דיסקונט לישראל בע"מ,362,אם המושבות,חיה פיינשטיין 11 ,פתח תקווה,4956970,,076-8051355,,,לא,יום א,רגיל,03/07/2012,,,,32.1005,34.8843
11,בנק דיסקונט לישראל בע"מ,41,פתח תקוה,סלור 22 ,פתח תקווה,4936324,,076-8051555,,,לא,יום א,רגיל,01/02/1949,,,,32.0893,34.8841
11,בנק דיסקונט לישראל בע"מ,56,כפר גנים,העצמאות 65 ,פתח תקווה,4943520,,076-8051820,,,כן,יום ו,רגיל,01/02/1949,,,,32.0852,34.8871
11,בנק דיסקונט לישראל בע"מ,98,צפת,העליה ב' 4 מרכז מסחרי,צפת,1322316,,076-8052153,,,כן,יום ו,רגיל,01/02/1949,,,,32.9662,35.4955
11,בנק דיסקונט לישראל בע"מ,75,קרית מוצקין,דקר 1 ,קריית מוצקין,2361008,,076-8052047,,,כן,יום ו,רגיל,01/02/1949,,,,32.8254,35.0763
11,בנק דיסקונט לישראל בע"מ,396,אסף הרופא,קניון אסף סנטר 1 ,ראשון לציון,7030001,,076-8051012,,,כן,יום ו,רגיל,09/12/2007,,,,31.9662,34.8402
11,בנק דיסקונט לישראל בע"מ,506,מערב ראשון לציון,מורשת ישראל 15 נווה שקמה,ראשון לציון,7575603,,076-8050690,,,כן,יום ו,רגיל,28/12/2000,,,,31.9753,34.7742
11,בנק דיסקונט לישראל בע"מ,55,ראשון לציון,הרצל 87 ,ראשון לציון,7526659,,076-8050511,,,כן,יום א,רגיל,01/02/1949,,,,31.9639,34.8032
11,בנק דיסקונט לישראל בע"מ,303,מודיעין,לב העיר 2 ,מודיעין-מכבים-רעות*,7170000,,076-8050720,,,כן,יום א,רגיל,31/08/2004,,,,31.8994,35.0067
11,בנק דיסקונט לישראל בע"מ,174,כרמיאל,מעלה כמון 5 מתחם חוצות כרמיאל,כרמיאל,2165000,,076-8052410,,,כן,יום א,רגיל,01/02/1949,,,,32.9282,35.3244
11,בנק דיסקונט לישראל בע"מ,5,נוף הגליל,דרך  אריאל שרון41 41 ,נוף הגליל                ,1745100,,076-8052231,,,כן,יום א,רגיל,01/02/1949,,,,32.6938,35.3059
11,בנק דיסקונט לישראל בע"מ,112,גדרה,הבילויים 16 ,גדרה,7040125,,076-8050884,,,כן,יום ו,רגיל,01/02/1949,,,,31.8152,34.7724
11,בנק דיסקונט לישראל בע"מ,3,אילת,שד' התמרים 1 מרכז השלום,אילת,8801408,,076-8053710,,,כן,יום ו,רגיל,01/02/1949,,,,29.5651,34.9507
11,בנק דיסקונט לישראל בע"מ,44,הרצליה,סוקולוב 22 ,הרצלייה,4649729,,076-8051620,,,לא,יום א,רגיל,01/02/1949,,,,32.1670,34.8422
11,בנק דיסקונט לישראל בע"מ,90,חדרה,הרברט סמואל 68 ,חדרה,3831638,,076-8051534,,,לא,יום ו,רגיל,01/02/1949,,,,32.4360,34.9205
11,בנק דיסקונט לישראל בע"מ,103,קריית אילון חולון,פנחס אילון 13 ,חולון,5840219,,076-8050575,,,כן,יום ו,רגיל,01/02/1949,,,,32.0086,34.7781
11,בנק דיסקונט לישראל בע"מ,49,חולון,סוקולוב 68 ,חולון,5833002,,076-8050778,,,כן,יום ו,רגיל,01/02/1949,,,,32.0225,34.7768
11,בנק דיסקונט לישראל בע"מ,46,טבריה,הגליל 52 גליל סנטר,טבריה,1420008,,076-8053807,,,כן,יום ו,רגיל,01/02/1949,,,,32.785190,35.541040
11,בנק דיסקונט לישראל בע"מ,77,קרית אתא,העצמאות 61 ,קריית אתא,2850210,,076-8052140,,,כן,יום ו,רגיל,01/02/1949,,,,32.8066,35.1039
11,בנק דיסקונט לישראל בע"מ,510,מבשרת ציון,הראל 1 קניון הראל,מבשרת ציון,9079129,,076-8052920,,,כן,יום א,רגיל,21/11/1995,,,,31.7999,35.1491
11,בנק דיסקונט לישראל בע"מ,94,באר שבע,שד' דוד טוביהו 125 ,באר שבע,8420838,,076-8053040,,,כן,יום א,רגיל,01/02/1949,,,,31.2451,34.7887
11,בנק דיסקונט לישראל בע"מ,517,לב העיר באר שבע,הנריאטה סולד 8 ,באר שבע,8489432,,076-8053144,,,כן,יום ו,רגיל,24/09/1999,,,,31.2469,34.80
11,בנק דיסקונט לישראל בע"מ,991,שלוחת באר שבע,שאול המלך 80 ,באר שבע,8446335,,076-8053040,,,כן,יום ו,רגיל,01/09/2013,,,,31.257570,34.767830
11,בנק דיסקונט לישראל בע"מ,97,נהריה,שדרות הגעתון 29 ,נהרייה,2244025,,076-8052310,,,לא,יום ו,רגיל,01/02/1949,,,,33.0063,35.0941
11,בנק דיסקונט לישראל בע"מ,95,זכרון יעקב,הדגן 2 ,זכרון יעקב,3095067,,076-8052481,,,כן,יום ו,רגיל,01/02/1949,,,,32.5690,34.9549
11,בנק דיסקונט לישראל בע"מ,443,קרית ביאליק,דרך עכו 194 הקריון,קריית ביאליק,2723211,,076-8052090,,,לא,יום א,רגיל,03/05/2001,,,,32.8422,35.0889
11,בנק דיסקונט לישראל בע"מ,187,הוד השרון,הבנים 14 ,הוד השרון,4526821,,076-8051280,,,כן,יום ו,רגיל,24/07/1994,,,,32.1559,34.8912
11,בנק דיסקונט לישראל בע"מ,147,לב דיזנגוף,דיזנגוף 55 ,תל אביב -יפו,6433227,,076-8053866,,,כן,יום א,רגיל,01/02/1949,,,,32.0753,34.7749
11,בנק דיסקונט לישראל בע"מ,151,יד אליהו,דרך משה דיין 64 ,תל אביב -יפו,6732002,,076-8053526,,,כן,יום א,רגיל,01/02/1949,,,,32.0567,34.8004
11,בנק דיסקונט לישראל בע"מ,152,ככר המדינה,ה' באייר 66 ,תל אביב -יפו,6219813,,076-8053960,,,לא,יום ו,רגיל,01/02/1949,,,,32.0879,34.7893
11,בנק דיסקונט לישראל בע"מ,8,שינקין,שינקין 66 ,תל אביב -יפו,6523320,,,,,לא,,רגיל,01/02/1949,,11001,100,32.0695,34.7724
11,בנק דיסקונט לישראל בע"מ,26,חצרות יפו,שד' ירושלים 15 ,תל אביב -יפו,6811201,,076-8053460,,,כן,יום ו,רגיל,01/02/1949,,,,32.0547,34.7597
11,בנק דיסקונט לישראל בע"מ,34,אלון,יגאל אלון 96 ,תל אביב -יפו,6473403,,076-8053494,,,כן,יום ו,רגיל,01/02/1949,,,,32.0685,34.7937
11,בנק דיסקונט לישראל בע"מ,118,נוה אביבים,יהודה הנשיא 34 ,תל אביב -יפו,6920024,,076-8053548,,,כן,יום ו,רגיל,01/02/1949,,,,32.1191,34.7958
11,בנק דיסקונט לישראל בע"מ,83,צפון דיזנגוף,דיזנגוף 191 ,תל אביב -יפו,6346230,,076-8053780,,,לא,יום ו,רגיל,01/02/1949,,11001,147,32.0864,34.7746
11,בנק דיסקונט לישראל בע"מ,85,ככר יצחק רבין,אבן גבירול 66 ,תל אביב -יפו,6495203,,076-8053830,,,לא,יום ו,רגיל,01/02/1949,,,,32.0798,34.7815
11,בנק דיסקונט לישראל בע"מ,514,מרכז קופות תל אביב,אבן גבירול 66 ,תל אביב -יפו,6495203,,076-8053914,,,כן,יום ו,רגיל,30/06/2024,,,,32.0798,34.7815
11,בנק דיסקונט לישראל בע"מ,515,קדמת עתידים,הברזל 24 ,תל אביב -יפו,6971032,,076-8053592,,,לא,יום ו,רגיל,26/05/1998,27/09/2024,11001,123,32.1090,34.8402
11,בנק דיסקונט לישראל בע"מ,198,אפקה,רמת אביב ג' 25 מרכז שוסטר,תל אביב -יפו,6949211,,076-8053640,,,לא,יום ו,רגיל,18/06/1985,,,,32.1246,34.8039
11,בנק דיסקונט לישראל בע"מ,43,רמלה,שדרות הרצל 55 ,רמלה,7240623,,076-8050410,,,כן,יום ו,רגיל,01/02/1949,,,,31.9304,34.8701
11,בנק דיסקונט לישראל בע"מ,7,תל גנים,בן גוריון 259 ,רמת גן,5231309,,076-8051609,,,כן,יום א,רגיל,01/02/1949,,11001,96,32.0661,34.8159
11,בנק דיסקונט לישראל בע"מ,4,אשדוד,הרצל 1 ,אשדוד,7745401,,076-8051002,,,כן,יום ו,רגיל,01/02/1949,,,,31.7930,34.64
11,בנק דיסקונט לישראל בע"מ,114,רובע ד',חיים משה שפירא 1 ,אשדוד,7742323,,076-8050480,,,כן,יום א,רגיל,01/02/1949,,,,31.7993,34.6449
11,בנק דיסקונט לישראל בע"מ,159,מרכז ירושלים,יפו 103 ,ירושלים,9434001,,076-8053017,,,לא,יום ו,רגיל,01/02/1949,,,,31.7843,35.2151
11,בנק דיסקונט לישראל בע"מ,162,תלפיות ירושלים,האומן 17 קניון לב תלפיות,ירושלים,9346934,,076-8053200,,,כן,יום ו,רגיל,01/02/1949,,,,31.7511,35.2083
11,בנק דיסקונט לישראל בע"מ,321,הלאום,שד' יצחק רבין 10 ,ירושלים,9195000,,076-8053120,,,כן,יום ו,רגיל,04/11/2007,,,,31.7830,35.2078
